,age,age_squared,log_minutes,log_appearances,has_appearances,goals_per_90,assists_per_90,contributions_per_90,yellow_per_90,clean_sheets_per_90,log_highest_mv,log_total_fees,transfer_count,squad_size,league_mean_value,cs_rate,save_pct_proxy,gk_offensive
1280,0.27983088743601775,0.17261745177556742,0.5429786737554099,0.13578861780100163,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,0.2549028437739553,-0.19934789827872132,-0.40425147250511956,-0.6213339571952319,1.291258596336339,0.2219466411622202,0.5912525566920356,0.2549028437739553,-0.2352454750034524
3524,-1.8789809079219062,-1.5342251185928089,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-0.8856829734902599,-0.40425147250511956,0.46836490883214366,0.5955373698620186,-0.3160646855196059,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
261,2.13024099774281,2.396389486312652,0.32478327319870137,-0.2257167803903553,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,5.0754064001777275,-0.06327588809505372,0.8843127328596712,-0.40425147250511956,-0.6213339571952319,-0.10018385661230199,-1.2499395687898753,0.041866819879878225,-0.06327588809505372,-0.2352454750034524
1110,-0.028570797615114253,-0.12973751783254495,1.1956313062397876,1.3922850157695208,0.8255132229215193,-0.04341530649267131,3.0935466907995877,2.8096870278181214,0.051671040515923486,-0.20855436505137312,0.7167195078680955,2.3902859527736684,0.9042444552430938,0.3172488792722903,-0.5924126179336279,-0.20941472451431872,-0.20855436505137312,2.8096870278181214
837,0.8966342575382817,0.8358477076901365,1.223464126542106,1.4478206279213186,0.8255132229215193,-0.04341530649267131,5.74063879114099,5.2321461058720695,0.5079580998096105,-0.16240184310450015,0.23368290810602216,2.190488915306056,1.122184228448569,1.291258596336339,-0.5097175270386403,-0.12981622287392106,-0.16240184310450015,5.2321461058720695
2669,-0.9537758527685102,-0.9197617932601935,-0.7059762713404476,-0.5872221785817122,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,6.87461136030865,-0.3132497565331822,-0.40425147250511956,-0.18545441078428168,0.7346816151568826,-0.5097175270386403,5.329704536696893,6.87461136030865,-0.2352454750034524
3446,-1.2621775378196423,-1.14408967393718,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-1.3187085738586168,-0.40425147250511956,-0.6213339571952319,-0.10018385661230199,-0.7729566272024182,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
1773,0.7424334150127156,0.6627251041242012,0.9691345829244942,0.9484265486537321,0.8255132229215193,-0.04341530649267131,6.55044111218203,6.647984707230094,-0.521863228874641,-0.3188134846246249,-0.019623963750441075,-0.40425147250511956,2.4298228676814193,-3.5787899889839045,-0.7729566272024182,-0.3998690090434105,-0.3188134846246249,6.647984707230094
1576,-0.028570797615114253,-0.12973751783254495,-1.1214724073015,-0.9487275767730693,-1.2113676343801811,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,-0.521863228874641,-0.34168227848043664,-0.19934789827872132,-0.40425147250511956,-0.6213339571952319,0.03896038868256211,1.0372133221513744,-0.43884569983075944,-0.34168227848043664,-0.2352454750034524
340,1.0508351000638476,1.013847004314267,1.4663290168072256,1.9412743457010353,0.8255132229215193,-0.04341530649267131,-0.23374038179229867,-0.2352454750034524,0.014069321271778679,-0.2817037751215572,2.155219735896399,-0.40425147250511956,-0.6213339571952319,0.1781046339774262,0.9891859119941783,-0.33664697516786807,-0.2817037751215572,-0.2352454750034524
